Title,Author,Rating,Genre
"Thomas (The Deptford Histories, #3)",Robin Jarvis,4.11 avg rating — 380 ratings,Adventure
"Less Is Lost (Arthur Less, #2)",Andrew Sean Greer,"3.76 avg rating — 11,019 ratings",Adventure
Don Quixote,Miguel de Cervantes Saavedra,"3.89 avg rating — 254,211 ratings",Adventure
"Thorn Ogres Of Hagwood (The Hagwood Trilogy, #1)",Robin Jarvis,3.77 avg rating — 376 ratings,Adventure
"Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,"4.31 avg rating — 65,279 ratings",Adventure
"Dark Waters Of Hagwood (The Hagwood Trilogy, #2)",Robin Jarvis,3.92 avg rating — 63 ratings,Adventure
"Scorpia (Alex Rider, #5)",Anthony Horowitz,"4.18 avg rating — 57,259 ratings",Adventure
War in Hagwood (The Hagwood Trilogy Book 3),Robin Jarvis,4.06 avg rating — 36 ratings,Adventure
"Ten Years Later (The D'Artagnan Romances, #3.2)",Alexandre Dumas,"3.96 avg rating — 2,818 ratings",Adventure
"Beet the Vandel Buster, Vol. 1",Riku Sanjo,4.06 avg rating — 293 ratings,Adventure
"Twenty Years After (The d'Artagnan Romances, #2)",Alexandre Dumas,"4.07 avg rating — 23,001 ratings",Adventure
Kazan (Kazan #1),Gaku Miyao,3.83 avg rating — 52 ratings,Adventure
Legenda Naga Vol. 1,Yoshito Yamahara,4.19 avg rating — 407 ratings,Adventure
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"4.47 avg rating — 890,152 ratings",Adventure
Drifters Volume 1,Kohta Hirano,3.83 avg rating — 534 ratings,Adventure
"Little (Grrl) Lost (Newford, #16)",Charles de Lint,"3.74 avg rating — 1,973 ratings",Adventure
Timeline,Michael Crichton,"3.86 avg rating — 201,370 ratings",Adventure
"Hunter x Hunter, Vol. 01 (Hunter x Hunter, #1)",Yoshihiro Togashi,"4.53 avg rating — 49,712 ratings",Adventure
The Silmarillion,J.R.R. Tolkien,"3.99 avg rating — 269,462 ratings",Adventure
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"4.09 avg rating — 448,829 ratings",Adventure
Pirates!,Celia Rees,"3.83 avg rating — 16,092 ratings",Adventure
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,"4.15 avg rating — 88,907 ratings",Adventure
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"4.23 avg rating — 2,619,809 ratings",Adventure
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,"4.26 avg rating — 126,580 ratings",Adventure
Five Weeks in a Balloon,Jules Verne,"3.76 avg rating — 23,079 ratings",Adventure
"The Girl in the Steel Corset (Steampunk Chronicles, #1)",Kady Cross,"3.80 avg rating — 21,414 ratings",Adventure
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,146,855 ratings",Adventure
The Seer and the Sword,Victoria Hanley,"4.12 avg rating — 10,621 ratings",Adventure
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"4.19 avg rating — 1,025,843 ratings",Adventure
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.56 avg rating — 3,396,255 ratings",Adventure
