Title,Author,Rating,Genre
The Gene: An Intimate History,Siddhartha Mukherjee,"4.35 avg rating — 45,347 ratings",Adventure
The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,V.S. Ramachandran,"4.15 avg rating — 10,278 ratings",Adventure
Astrophysics for People in a Hurry,Neil deGrasse Tyson,"4.09 avg rating — 162,421 ratings",Adventure
The Panda's Thumb: More Reflections in Natural History,Stephen Jay Gould,"4.12 avg rating — 6,609 ratings",Adventure
The Varieties of Scientific Experience: A Personal View of the Search for God,Carl Sagan,"4.28 avg rating — 10,054 ratings",Adventure
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,"really liked it 4.00 avg rating — 129,563 ratings",Adventure
The Naked Ape,Desmond Morris,"3.94 avg rating — 10,493 ratings",Adventure
Black Holes & Time Warps: Einstein's Outrageous Legacy,Kip S. Thorne,"4.21 avg rating — 12,354 ratings",Adventure
The Map That Changed the World: William Smith and the Birth of Modern Geology,Simon Winchester,"3.82 avg rating — 12,933 ratings",Adventure
"Unweaving the Rainbow: Science, Delusion and the Appetite for Wonder",Richard Dawkins,"4.02 avg rating — 11,028 ratings",Adventure
